phrase,pin,value,action
set pin ninety four to four hundred and sixty three,ninety four,four hundred and sixty three,set
turn the pin seventy two off,seventy two,off,turn
set the pin fifty one to two hundred and fifty two,fifty one,two hundred and fifty two,set
turn off pin seven hundred and fifty seven,seven hundred and fifty seven,off,turn
set pin five hundred and ninety three to five hundred and twenty seven,five hundred and ninety three,five hundred and twenty seven,set
delete the pin seven hundred and nine,seven hundred and nine,,delete
delete pin five hundred and eighty one,five hundred and eighty one,,delete
change the pin three hundred and twenty one to ninety seven percent,three hundred and twenty one,ninety seven percent,change
change the pin one thousand to six hundred and fifty seven,one thousand,six hundred and fifty seven,change
turn the pin four hundred and seventeen off,four hundred and seventeen,off,turn
add the pin eighty two,eighty two,,add
add pin seventy two,seventy two,,add
add the pin seven hundred and ninety two,seven hundred and ninety two,,add
add the pin eight hundred and twenty four,eight hundred and twenty four,,add
set pin five hundred and seventy to fifty four percent,five hundred and seventy,fifty four percent,set
turn pin four hundred and twenty eight off,four hundred and twenty eight,off,turn
delete the pin seven hundred and ninety five,seven hundred and ninety five,,delete
set the pin nine hundred and ninety seven to seventeen,nine hundred and ninety seven,seventeen,set
change the pin eight hundred and twenty eight to eight hundred and ninety six,eight hundred and twenty eight,eight hundred and ninety six,change
turn off the pin five hundred and ninety eight,five hundred and ninety eight,off,turn
change the pin five hundred and ninety five to twenty three percent,five hundred and ninety five,twenty three percent,change
add the pin two hundred and eighteen,two hundred and eighteen,,add
add the pin two hundred and sixty eight,two hundred and sixty eight,,add
set the pin two hundred and thirty one to thirty six,two hundred and thirty one,thirty six,set
turn off the pin nine hundred and fifty four,nine hundred and fifty four,off,turn
change pin four hundred and one to eight hundred and ninety four,four hundred and one,eight hundred and ninety four,change
add the pin eight hundred and forty seven,eight hundred and forty seven,,add
change pin fifty seven to eight hundred and eighteen,fifty seven,eight hundred and eighteen,change
delete the pin two hundred and twenty seven,two hundred and twenty seven,,delete
set the pin seven hundred and fifty six to nine hundred and five,seven hundred and fifty six,nine hundred and five,set
change the pin four hundred and sixty five to six hundred and seventy nine,four hundred and sixty five,six hundred and seventy nine,change
add pin two hundred and forty three,two hundred and forty three,,add
set the pin three hundred and three to eight hundred and ninety,three hundred and three,eight hundred and ninety,set
set the pin three hundred and six to nineteen,three hundred and six,nineteen,set
turn the pin five hundred and twenty nine off,five hundred and twenty nine,off,turn
add pin five hundred and forty four,five hundred and forty four,,add
turn off the pin three hundred and thirty three,three hundred and thirty three,off,turn
change the pin five hundred and nine to five hundred and forty eight,five hundred and nine,five hundred and forty eight,change
change the pin five hundred and forty eight to five hundred and four,five hundred and forty eight,five hundred and four,change
change the pin two hundred and eighty one to ninety eight percent,two hundred and eighty one,ninety eight percent,change
add pin seven hundred and ninety one,seven hundred and ninety one,,add
turn the pin seven hundred and ninety four off,seven hundred and ninety four,off,turn
change the pin four hundred and eight to twenty three,four hundred and eight,twenty three,change
add the pin three hundred and ninety three,three hundred and ninety three,,add
delete pin seven hundred and forty one,seven hundred and forty one,,delete
delete the pin four hundred and eighty one,four hundred and eighty one,,delete
turn pin one hundred and forty three off,one hundred and forty three,off,turn
add the pin seven hundred and fifty four,seven hundred and fifty four,,add
turn off the pin five hundred and forty two,five hundred and forty two,off,turn
add pin nine hundred and seventeen,nine hundred and seventeen,,add
delete the pin two hundred and twenty six,two hundred and twenty six,,delete
turn the pin five hundred and fifty one on,five hundred and fifty one,on,turn
delete pin eight hundred and five,eight hundred and five,,delete
add the pin one hundred and twenty six,one hundred and twenty six,,add
turn on pin two hundred and forty five,two hundred and forty five,on,turn
change the pin five hundred and fifty one to eight hundred and thirty,five hundred and fifty one,eight hundred and thirty,change
add the pin three hundred and twenty six,three hundred and twenty six,,add
turn pin nine hundred and sixty two on,nine hundred and sixty two,on,turn
set pin six hundred and twenty five to seven hundred and nineteen,six hundred and twenty five,seven hundred and nineteen,set
add pin one hundred and forty five,one hundred and forty five,,add
delete pin five hundred and seventy,five hundred and seventy,,delete
change the pin six hundred and ninety eight to one hundred and eighty seven,six hundred and ninety eight,one hundred and eighty seven,change
turn on the pin two hundred and ninety four,two hundred and ninety four,on,turn
change pin two hundred and ten to four hundred and one,two hundred and ten,four hundred and one,change
delete pin seven hundred and six,seven hundred and six,,delete
add pin nine hundred and sixty five,nine hundred and sixty five,,add
add pin nine hundred and twenty three,nine hundred and twenty three,,add
turn pin five hundred and twenty one on,five hundred and twenty one,on,turn
change pin twenty nine to eight hundred and nineteen,twenty nine,eight hundred and nineteen,change
add the pin one hundred and seventeen,one hundred and seventeen,,add
change the pin two hundred and twenty seven to nine hundred and seventy six,two hundred and twenty seven,nine hundred and seventy six,change
change the pin two hundred and seventy four to five hundred and ten,two hundred and seventy four,five hundred and ten,change
turn off pin six hundred and seventy five,six hundred and seventy five,off,turn
change the pin four hundred and sixty seven to six hundred and forty five,four hundred and sixty seven,six hundred and forty five,change
turn on pin four hundred and eighty nine,four hundred and eighty nine,on,turn
delete the pin six hundred and ninety six,six hundred and ninety six,,delete
add the pin six hundred and two,six hundred and two,,add
add the pin nine hundred and nineteen,nine hundred and nineteen,,add
add the pin eight hundred and forty nine,eight hundred and forty nine,,add
change pin seven hundred and sixty three to five hundred and nine,seven hundred and sixty three,five hundred and nine,change
delete pin forty five,forty five,,delete
delete pin five hundred and twenty five,five hundred and twenty five,,delete
set the pin three hundred and sixty four to sixty one,three hundred and sixty four,sixty one,set
add the pin four hundred and forty three,four hundred and forty three,,add
delete pin six hundred and thirty seven,six hundred and thirty seven,,delete
delete pin nine hundred and eighty,nine hundred and eighty,,delete
turn pin five hundred and sixty nine on,five hundred and sixty nine,on,turn
add pin five hundred and fifty three,five hundred and fifty three,,add
turn the pin six hundred and six off,six hundred and six,off,turn
set pin five hundred and fifty four to nine hundred and sixty,five hundred and fifty four,nine hundred and sixty,set
change pin two hundred and thirty to fifty six percent,two hundred and thirty,fifty six percent,change
set the pin six hundred and fifty one to five hundred and twelve,six hundred and fifty one,five hundred and twelve,set
change the pin one hundred and sixty three to two hundred and fifty five,one hundred and sixty three,two hundred and fifty five,change
set pin one thousand and one to fourteen,one thousand and one,fourteen,set
turn off the pin one hundred and ninety two,one hundred and ninety two,off,turn
change the pin five hundred and eighteen to thirty nine percent,five hundred and eighteen,thirty nine percent,change
delete pin six hundred and forty two,six hundred and forty two,,delete
delete pin three hundred and twenty five,three hundred and twenty five,,delete
set the pin five hundred and seventy nine to forty five,five hundred and seventy nine,forty five,set
set the pin two hundred and fifty seven to six hundred and seventy five,two hundred and fifty seven,six hundred and seventy five,set
delete pin eight hundred and forty seven,eight hundred and forty seven,,delete
turn off pin eight hundred and seventy,eight hundred and seventy,off,turn
change the pin nine hundred and nine to five hundred,nine hundred and nine,five hundred,change
turn on the pin four hundred and eighty five,four hundred and eighty five,on,turn
delete the pin three hundred and nine,three hundred and nine,,delete
delete pin seven hundred and three,seven hundred and three,,delete
turn the pin nine hundred and twenty five off,nine hundred and twenty five,off,turn
turn pin four hundred and thirteen on,four hundred and thirteen,on,turn
add the pin seventeen,seventeen,,add
delete pin five hundred and seventy one,five hundred and seventy one,,delete
set pin three hundred and seventy five to nine hundred and forty,three hundred and seventy five,nine hundred and forty,set
change the pin four hundred and twelve to one hundred and thirty eight,four hundred and twelve,one hundred and thirty eight,change
delete pin four hundred and nineteen,four hundred and nineteen,,delete
turn the pin nine hundred and eighty five on,nine hundred and eighty five,on,turn
delete the pin nine hundred and ninety,nine hundred and ninety,,delete
change the pin three hundred and fifty one to five hundred and forty eight,three hundred and fifty one,five hundred and forty eight,change
change the pin two hundred and thirty seven to eight hundred and eighty three,two hundred and thirty seven,eight hundred and eighty three,change
turn the pin forty three off,forty three,off,turn
delete pin one hundred and twenty four,one hundred and twenty four,,delete
set pin six hundred and seventy one to one hundred and five,six hundred and seventy one,one hundred and five,set
change the pin seven hundred and eighty two to two hundred and fifty,seven hundred and eighty two,two hundred and fifty,change
set the pin ninety five to four hundred and ninety five,ninety five,four hundred and ninety five,set
change the pin six hundred and eighty one to one hundred and forty six,six hundred and eighty one,one hundred and forty six,change
add pin nine hundred and eighteen,nine hundred and eighteen,,add
turn pin five hundred and twenty six off,five hundred and twenty six,off,turn
add pin five hundred and twenty eight,five hundred and twenty eight,,add
set pin four hundred to nine hundred and fifty four,four hundred,nine hundred and fifty four,set
add pin eight hundred and sixty five,eight hundred and sixty five,,add
add pin four hundred and fifty nine,four hundred and fifty nine,,add
turn pin ninety four off,ninety four,off,turn
add pin one hundred and eighty one,one hundred and eighty one,,add
change pin eight hundred and eighty two to four hundred and sixty five,eight hundred and eighty two,four hundred and sixty five,change
add pin three hundred and sixteen,three hundred and sixteen,,add
set pin two hundred and ninety eight to one hundred and twenty,two hundred and ninety eight,one hundred and twenty,set
delete the pin four hundred and sixty eight,four hundred and sixty eight,,delete
change the pin nine hundred and one to nine hundred and ninety,nine hundred and one,nine hundred and ninety,change
change the pin seven hundred and ninety five to seven hundred and eighty four,seven hundred and ninety five,seven hundred and eighty four,change
change the pin three hundred and seventy three to five hundred and fifty eight,three hundred and seventy three,five hundred and fifty eight,change
change the pin one thousand and fifteen to three hundred and twenty five,one thousand and fifteen,three hundred and twenty five,change
change the pin three hundred and forty two to sixty seven,three hundred and forty two,sixty seven,change
turn the pin eight hundred off,eight hundred,off,turn
turn pin seven hundred and fourteen on,seven hundred and fourteen,on,turn
turn pin four hundred and eighty three off,four hundred and eighty three,off,turn
change the pin three hundred and sixty seven to nine hundred and ninety seven,three hundred and sixty seven,nine hundred and ninety seven,change
delete pin eight hundred and twenty four,eight hundred and twenty four,,delete
change pin three hundred and five to eighty one,three hundred and five,eighty one,change
delete the pin sixty one,sixty one,,delete
add pin five hundred and thirty four,five hundred and thirty four,,add
turn the pin six hundred and four on,six hundred and four,on,turn
add the pin three hundred and five,three hundred and five,,add
add pin one hundred and ninety three,one hundred and ninety three,,add
delete pin one hundred and sixty nine,one hundred and sixty nine,,delete
add pin seven hundred and seventy four,seven hundred and seventy four,,add
delete the pin six hundred and ninety nine,six hundred and ninety nine,,delete
turn off pin two hundred and seventy nine,two hundred and seventy nine,off,turn
delete the pin eight hundred and ninety one,eight hundred and ninety one,,delete
set pin four hundred and fifteen to seven hundred and fifty five,four hundred and fifteen,seven hundred and fifty five,set
delete the pin six hundred and six,six hundred and six,,delete
turn off pin nine hundred and fifty five,nine hundred and fifty five,off,turn
change the pin six hundred and thirty five to six hundred and seventy eight,six hundred and thirty five,six hundred and seventy eight,change
add the pin five hundred and seventy four,five hundred and seventy four,,add
turn off pin four hundred and forty one,four hundred and forty one,off,turn
add pin zero,zero,,add
add the pin four hundred and twelve,four hundred and twelve,,add
turn on the pin four hundred and thirty six,four hundred and thirty six,on,turn
set pin eight hundred and thirteen to ninety four percent,eight hundred and thirteen,ninety four percent,set
add pin thirty,thirty,,add
set pin two hundred and twenty three to three hundred and seven,two hundred and twenty three,three hundred and seven,set
change the pin two hundred and forty three to four hundred and twenty,two hundred and forty three,four hundred and twenty,change
turn pin seven hundred and eighty one off,seven hundred and eighty one,off,turn
turn pin nine hundred and twenty off,nine hundred and twenty,off,turn
add the pin five hundred and seventy,five hundred and seventy,,add
set pin one hundred and ninety to eighty six percent,one hundred and ninety,eighty six percent,set
add pin one hundred and fifty two,one hundred and fifty two,,add
delete pin seven hundred and fifty five,seven hundred and fifty five,,delete
delete pin seven hundred and sixty two,seven hundred and sixty two,,delete
delete pin six hundred and forty four,six hundred and forty four,,delete
delete the pin one hundred and eighty seven,one hundred and eighty seven,,delete
change the pin thirteen to eighty eight percent,thirteen,eighty eight percent,change
add the pin nine hundred and seventy five,nine hundred and seventy five,,add
set the pin nine hundred and eighty three to four hundred and forty nine,nine hundred and eighty three,four hundred and forty nine,set
delete pin eight hundred and fifty one,eight hundred and fifty one,,delete
set the pin two hundred and sixty three to seven hundred and forty one,two hundred and sixty three,seven hundred and forty one,set
change the pin eight hundred and eleven to eight hundred and sixty,eight hundred and eleven,eight hundred and sixty,change
change pin four hundred and seventy three to four hundred and twenty three,four hundred and seventy three,four hundred and twenty three,change
delete the pin one hundred and fifteen,one hundred and fifteen,,delete
set pin three hundred and fifty to eight hundred and forty seven,three hundred and fifty,eight hundred and forty seven,set
delete the pin one hundred and seventy four,one hundred and seventy four,,delete
add pin two hundred and sixty two,two hundred and sixty two,,add
change the pin eighty five to four hundred and ninety four,eighty five,four hundred and ninety four,change
delete the pin seven hundred and sixty seven,seven hundred and sixty seven,,delete
delete the pin six hundred and sixty three,six hundred and sixty three,,delete
change the pin four to seven hundred and ninety eight,four,seven hundred and ninety eight,change
delete pin thirty seven,thirty seven,,delete
set the pin eight hundred and seventy one to five hundred and fifty one,eight hundred and seventy one,five hundred and fifty one,set
set pin five hundred and fourteen to forty seven,five hundred and fourteen,forty seven,set
turn off the pin five hundred and ninety five,five hundred and ninety five,off,turn
turn off pin seven hundred and ninety five,seven hundred and ninety five,off,turn
set the pin eight hundred and fifty nine to thirty two percent,eight hundred and fifty nine,thirty two percent,set
change the pin four hundred and thirty three to sixty four,four hundred and thirty three,sixty four,change
add pin seven hundred and fifty seven,seven hundred and fifty seven,,add
add the pin one hundred and thirty,one hundred and thirty,,add
add pin eight hundred and eighty six,eight hundred and eighty six,,add
add the pin seven,seven,,add
add the pin four hundred and eighty nine,four hundred and eighty nine,,add
turn on pin two hundred and thirty two,two hundred and thirty two,on,turn
add pin six hundred and eighteen,six hundred and eighteen,,add
set pin two hundred and one to thirty one,two hundred and one,thirty one,set
add the pin six hundred and eighty four,six hundred and eighty four,,add
delete pin eight hundred and thirty three,eight hundred and thirty three,,delete
delete pin five hundred and five,five hundred and five,,delete
change the pin ninety two to nine hundred and ninety six,ninety two,nine hundred and ninety six,change
turn the pin five hundred and seventy off,five hundred and seventy,off,turn
delete pin forty eight,forty eight,,delete
change the pin one hundred and twenty one to seven hundred and seventy eight,one hundred and twenty one,seven hundred and seventy eight,change
turn on pin ten,ten,on,turn
change pin eight hundred and fifty eight to twenty two,eight hundred and fifty eight,twenty two,change
turn on the pin three hundred and eighty five,three hundred and eighty five,on,turn
change the pin five hundred and fifty to seven hundred and seventy two,five hundred and fifty,seven hundred and seventy two,change
add the pin eight hundred and twenty nine,eight hundred and twenty nine,,add
change pin four hundred and four to four hundred and forty seven,four hundred and four,four hundred and forty seven,change
delete the pin six hundred and two,six hundred and two,,delete
add the pin eight hundred and seventy seven,eight hundred and seventy seven,,add
set the pin one hundred and eighty one to eight percent,one hundred and eighty one,eight percent,set
turn off pin seven hundred and seventeen,seven hundred and seventeen,off,turn
add pin five hundred and sixty five,five hundred and sixty five,,add
turn the pin two hundred and eighteen off,two hundred and eighteen,off,turn
change the pin seven hundred and twenty seven to forty five percent,seven hundred and twenty seven,forty five percent,change
delete the pin eight hundred and sixty three,eight hundred and sixty three,,delete
set the pin nine hundred and thirty eight to zero percent,nine hundred and thirty eight,zero percent,set
turn off pin eight hundred and forty three,eight hundred and forty three,off,turn
add pin eight hundred and eighty one,eight hundred and eighty one,,add
change the pin thirteen to sixty six percent,thirteen,sixty six percent,change
set the pin three hundred and ninety four to fifty two percent,three hundred and ninety four,fifty two percent,set
turn off pin five hundred and fifteen,five hundred and fifteen,off,turn
set the pin six hundred and twenty to nine hundred and fifty four,six hundred and twenty,nine hundred and fifty four,set
set pin eighty three to one hundred and ninety two,eighty three,one hundred and ninety two,set
delete pin six hundred and eight,six hundred and eight,,delete
change the pin six hundred and twenty five to thirty two percent,six hundred and twenty five,thirty two percent,change
add the pin seven hundred and forty two,seven hundred and forty two,,add
set pin eight hundred and forty eight to eight hundred and seventy five,eight hundred and forty eight,eight hundred and seventy five,set
delete pin two hundred and eighty two,two hundred and eighty two,,delete
delete the pin six hundred and eighty,six hundred and eighty,,delete
set the pin two hundred and forty three to four hundred and eighty eight,two hundred and forty three,four hundred and eighty eight,set
add pin one hundred and thirty,one hundred and thirty,,add
turn on the pin nine hundred and twenty eight,nine hundred and twenty eight,on,turn
add pin eight hundred and ninety seven,eight hundred and ninety seven,,add
set the pin eight hundred and sixty five to seventy four percent,eight hundred and sixty five,seventy four percent,set
change the pin four hundred and forty eight to eight hundred and seventy six,four hundred and forty eight,eight hundred and seventy six,change
change the pin two hundred and thirty three to one hundred and eighty three,two hundred and thirty three,one hundred and eighty three,change
change the pin eight hundred and thirty three to nine hundred and fifty five,eight hundred and thirty three,nine hundred and fifty five,change
change the pin one thousand and one to twenty four,one thousand and one,twenty four,change
add pin three hundred and ninety six,three hundred and ninety six,,add
add pin twenty five,twenty five,,add
delete the pin nine hundred and fifty four,nine hundred and fifty four,,delete
change pin three hundred and thirty one to five hundred and fourteen,three hundred and thirty one,five hundred and fourteen,change
change the pin seven hundred and eighty five to six hundred and forty eight,seven hundred and eighty five,six hundred and forty eight,change
delete the pin seven hundred and thirty seven,seven hundred and thirty seven,,delete
add the pin four hundred and forty six,four hundred and forty six,,add
add pin seven hundred and sixty five,seven hundred and sixty five,,add
delete the pin eight hundred and fifty six,eight hundred and fifty six,,delete
turn the pin seven hundred and twenty four off,seven hundred and twenty four,off,turn
delete the pin sixty two,sixty two,,delete
add pin eight hundred and ninety nine,eight hundred and ninety nine,,add
delete the pin eight hundred and thirty four,eight hundred and thirty four,,delete
delete pin two hundred and fifty two,two hundred and fifty two,,delete
delete the pin three hundred and thirty two,three hundred and thirty two,,delete
turn off the pin four hundred and ten,four hundred and ten,off,turn
add pin three hundred and ninety four,three hundred and ninety four,,add
add the pin eight hundred and fourteen,eight hundred and fourteen,,add
add pin four hundred and fourteen,four hundred and fourteen,,add
set pin seventy six to seven hundred and thirty four,seventy six,seven hundred and thirty four,set
turn off the pin eight hundred and sixty five,eight hundred and sixty five,off,turn
set the pin seven hundred and thirteen to nine hundred and eighty one,seven hundred and thirteen,nine hundred and eighty one,set
change the pin seven hundred and nineteen to seven hundred and fifty five,seven hundred and nineteen,seven hundred and fifty five,change
change pin seven hundred and twenty seven to six hundred and sixteen,seven hundred and twenty seven,six hundred and sixteen,change
set the pin six hundred and fifty six to one hundred and eighty eight,six hundred and fifty six,one hundred and eighty eight,set
set the music to two hundred and seven,music,two hundred and seven,set
turn off the pin four hundred and eighty four,four hundred and eighty four,off,turn
change the pin two hundred and sixty nine to ninety four percent,two hundred and sixty nine,ninety four percent,change
set the pin fifty to eight hundred and fifty four,fifty,eight hundred and fifty four,set
change the pin two hundred and twenty five to two hundred and eighty nine,two hundred and twenty five,two hundred and eighty nine,change
add pin four hundred and fifty three,four hundred and fifty three,,add
add pin one thousand and ten,one thousand and ten,,add
turn off pin one hundred and forty nine,one hundred and forty nine,off,turn
set pin one hundred and ninety nine to nine hundred and forty one,one hundred and ninety nine,nine hundred and forty one,set
change pin eight hundred and nine to three hundred and eleven,eight hundred and nine,three hundred and eleven,change
change pin six hundred and ten to seven hundred and thirty seven,six hundred and ten,seven hundred and thirty seven,change
add pin four hundred and six,four hundred and six,,add
turn the pin eight hundred and twenty three on,eight hundred and twenty three,on,turn
turn on the pin six hundred and fifty eight,six hundred and fifty eight,on,turn
set pin eight hundred and thirty one to forty nine,eight hundred and thirty one,forty nine,set
delete pin five hundred and forty eight,five hundred and forty eight,,delete
set the pin three hundred and four to seven hundred and two,three hundred and four,seven hundred and two,set
delete the pin three hundred and forty seven,three hundred and forty seven,,delete
set the pin one hundred and fifty four to two hundred and sixty five,one hundred and fifty four,two hundred and sixty five,set
turn the pin seven hundred and nineteen on,seven hundred and nineteen,on,turn
set pin six hundred and thirty one to five hundred and ninety nine,six hundred and thirty one,five hundred and ninety nine,set
change pin nine hundred and thirty four to five hundred and twenty one,nine hundred and thirty four,five hundred and twenty one,change
add the pin three hundred and two,three hundred and two,,add
add the pin sixty six,sixty six,,add
add the pin five hundred and ten,five hundred and ten,,add
set pin nine hundred and eighty three to three hundred and sixty four,nine hundred and eighty three,three hundred and sixty four,set
add the pin three hundred and fifty three,three hundred and fifty three,,add
set pin five hundred and eighty one to nine hundred and thirty one,five hundred and eighty one,nine hundred and thirty one,set
delete the pin four hundred and twenty nine,four hundred and twenty nine,,delete
turn pin seven hundred and forty seven on,seven hundred and forty seven,on,turn
set the pin seven hundred and five to forty one,seven hundred and five,forty one,set
change the pin twelve to seven percent,twelve,seven percent,change
turn the pin five hundred and twenty six off,five hundred and twenty six,off,turn
set the pin nine hundred and eleven to two hundred and fifty three,nine hundred and eleven,two hundred and fifty three,set
change pin eight hundred and twenty to eighty four,eight hundred and twenty,eighty four,change
add the pin nine hundred and eighty three,nine hundred and eighty three,,add
turn off pin forty three,forty three,off,turn
change pin seven hundred and six to ninety four,seven hundred and six,ninety four,change
